5;3;5;5;5;4;3;3;4;5;5;5;2;satisfied;19556
1;5;4;4;5;1;3;5;4;4;4;4;3;satisfied;90035
2;2;1;2;2;0;2;2;2;2;4;3;2;neutral or dissatisfied;12360
0;4;1;1;4;0;0;3;4;1;1;1;3;satisfied;77959
2;2;2;2;4;3;4;4;1;2;2;2;4;satisfied;36875
3;3;3;2;5;3;3;5;5;5;4;1;1;satisfied;39177
5;5;5;5;3;5;5;3;5;5;5;5;4;satisfied;79433
2;5;4;4;3;2;2;4;4;4;4;4;5;satisfied;97286
5;5;2;3;5;2;2;5;5;5;2;5;3;satisfied;27508
2;4;4;4;4;2;2;3;4;4;4;4;5;satisfied;62482
4;5;4;3;4;1;1;5;1;3;3;3;1;satisfied;47583
2;4;2;2;4;5;5;1;3;2;2;2;3;neutral or dissatisfied;115550
5;5;5;5;3;5;5;4;5;5;5;5;5;satisfied;119987
1;4;5;5;5;1;4;5;5;5;5;5;3;satisfied;42141
2;4;4;4;5;2;2;5;5;4;4;4;3;satisfied;2274
3;2;2;5;2;4;0;2;0;2;4;4;4;neutral or dissatisfied;22470
2;2;3;3;2;5;5;2;2;2;4;3;4;neutral or dissatisfied;124915
5;4;5;5;4;4;5;4;5;4;3;5;4;satisfied;17836
3;5;3;5;3;4;3;4;4;5;5;5;4;neutral or dissatisfied;76872
5;4;5;4;5;5;5;4;5;4;4;4;5;satisfied;64287
4;5;5;5;5;4;4;2;4;5;5;5;5;satisfied;63995
3;2;2;5;2;4;3;2;3;2;4;4;4;neutral or dissatisfied;75855
1;4;3;3;4;2;4;4;4;4;1;2;4;neutral or dissatisfied;106181
4;4;5;5;4;4;4;4;4;4;1;3;1;satisfied;44304
4;2;2;4;2;3;5;2;5;2;3;3;4;neutral or dissatisfied;82602
3;2;5;4;2;5;3;2;3;2;3;5;4;neutral or dissatisfied;7823
4;2;5;4;2;1;4;2;2;2;5;5;5;satisfied;127781
4;4;4;5;4;1;1;4;4;4;1;1;1;satisfied;34501
3;5;5;5;5;5;3;5;4;5;5;5;5;satisfied;121658
4;4;2;4;4;3;3;4;4;4;3;3;3;neutral or dissatisfied;20219
1;4;1;3;5;5;1;1;1;3;3;5;4;neutral or dissatisfied;67551
2;5;2;2;2;3;3;5;2;2;2;2;2;satisfied;48994
2;5;3;4;5;3;2;5;2;5;4;3;1;neutral or dissatisfied;70811
4;5;4;4;5;5;4;5;4;5;5;4;4;neutral or dissatisfied;75241
5;2;5;5;4;2;2;3;4;5;5;5;2;satisfied;12312
3;1;3;4;1;4;3;1;3;1;3;5;4;neutral or dissatisfied;48372
3;5;4;4;5;3;3;2;4;4;4;4;4;satisfied;51477
1;4;5;5;5;1;1;3;5;5;5;5;3;satisfied;84204
4;4;2;5;2;4;4;2;4;2;4;4;3;neutral or dissatisfied;70990
1;5;2;4;5;4;1;5;1;5;3;5;5;neutral or dissatisfied;101991
3;4;2;5;4;3;3;4;3;4;3;5;5;neutral or dissatisfied;87447
4;2;2;5;2;4;4;2;4;2;4;3;1;satisfied;16112
3;3;4;2;3;3;3;3;3;1;5;3;3;neutral or dissatisfied;16172
1;4;3;4;4;1;1;4;4;4;5;5;5;satisfied;106558
2;2;1;4;2;3;3;2;2;2;1;3;4;neutral or dissatisfied;11536
5;1;5;5;2;1;1;4;2;5;5;5;5;satisfied;47773
2;4;5;5;3;2;3;3;5;5;5;5;5;satisfied;70521
2;4;2;5;2;5;2;3;3;5;5;4;1;neutral or dissatisfied;96283
4;4;5;5;3;4;3;2;5;5;5;5;5;satisfied;117993
2;3;2;4;2;4;2;4;4;4;4;4;2;neutral or dissatisfied;74703
3;5;2;1;3;5;2;3;4;1;1;1;5;neutral or dissatisfied;110840
4;2;3;5;2;0;4;2;4;2;5;5;3;satisfied;88249
4;4;4;4;3;2;2;3;3;4;4;4;3;satisfied;125877
2;2;5;3;2;3;4;2;2;2;2;3;3;neutral or dissatisfied;83968
3;5;5;5;5;3;4;5;5;5;4;4;3;satisfied;122719
3;2;1;2;2;3;3;2;3;2;2;3;3;neutral or dissatisfied;3949
3;5;3;1;5;3;3;5;5;5;4;1;1;satisfied;45542
3;5;3;3;5;4;3;2;4;3;3;3;3;neutral or dissatisfied;43742
3;5;2;3;4;0;3;4;3;4;2;4;5;neutral or dissatisfied;122093
2;1;3;3;1;0;2;1;2;1;4;4;1;neutral or dissatisfied;121454
3;5;5;4;5;3;3;5;4;4;4;4;4;satisfied;738
1;5;1;5;3;4;1;2;5;5;5;5;4;neutral or dissatisfied;75235
3;4;3;5;3;2;3;4;3;5;5;5;4;neutral or dissatisfied;88653
4;4;1;5;4;1;1;4;4;4;3;3;2;satisfied;26594
5;3;3;2;3;5;5;3;4;3;5;3;1;satisfied;38339
1;5;1;4;4;5;1;4;4;4;4;4;5;neutral or dissatisfied;46063
2;2;3;4;2;2;2;2;2;2;4;2;2;neutral or dissatisfied;27957
2;3;2;5;3;3;2;4;2;5;5;5;3;neutral or dissatisfied;17270
5;4;5;5;3;5;5;5;4;5;5;5;4;satisfied;87976
2;5;4;4;5;2;2;2;3;4;4;4;5;satisfied;31640
3;5;3;1;4;4;3;3;3;1;1;1;4;neutral or dissatisfied;41461
3;3;3;3;2;2;2;2;4;3;3;3;3;neutral or dissatisfied;15143
3;5;3;2;5;5;3;2;4;2;2;2;4;neutral or dissatisfied;78136
3;4;4;4;4;3;2;2;5;4;4;4;3;satisfied;120433
1;3;2;4;4;2;2;4;2;4;3;1;1;neutral or dissatisfied;41440
2;4;2;5;3;5;2;2;5;5;5;5;3;neutral or dissatisfied;15963
2;5;5;5;5;3;3;5;3;5;4;5;4;neutral or dissatisfied;64303
2;5;2;5;4;4;2;4;5;5;5;5;5;neutral or dissatisfied;3608
2;2;3;2;2;2;2;2;2;2;4;3;1;neutral or dissatisfied;7744
1;1;5;2;1;1;1;1;1;1;1;3;1;neutral or dissatisfied;21276
2;5;4;3;4;2;3;1;1;3;3;3;4;satisfied;58576
2;5;2;2;5;4;2;4;4;2;2;2;3;neutral or dissatisfied;53888
3;5;4;2;5;3;3;5;5;5;4;4;5;satisfied;10980
3;2;3;3;4;5;5;4;3;3;3;3;1;neutral or dissatisfied;54151
2;1;4;3;1;2;1;1;1;1;4;3;4;neutral or dissatisfied;115641
2;5;4;4;5;1;2;5;2;5;2;3;2;neutral or dissatisfied;58584
1;1;4;3;1;2;1;1;1;1;1;3;4;neutral or dissatisfied;50472
1;4;5;5;5;1;5;2;4;5;5;5;4;satisfied;102623
1;3;4;5;3;4;1;3;1;3;5;5;4;neutral or dissatisfied;31533
1;3;1;4;1;0;0;1;3;4;4;4;4;neutral or dissatisfied;42287
3;4;5;5;4;3;3;3;4;5;5;5;3;satisfied;70467
3;5;5;4;5;5;3;5;3;5;5;3;5;neutral or dissatisfied;20461
3;4;4;4;3;3;3;3;5;4;4;4;4;satisfied;113346
2;3;2;2;1;1;4;5;3;2;2;2;4;neutral or dissatisfied;115566
1;4;4;4;4;1;1;2;4;4;4;4;5;satisfied;119896
3;4;3;2;4;4;3;2;5;2;2;2;3;neutral or dissatisfied;88853
2;5;4;5;5;5;2;5;2;5;5;4;5;neutral or dissatisfied;24895
3;3;4;4;3;3;3;1;4;4;4;4;3;satisfied;31122
2;4;3;4;4;2;2;4;2;4;1;4;1;neutral or dissatisfied;91231
2;4;2;5;4;2;2;4;2;4;3;3;3;neutral or dissatisfied;61426
2;4;4;2;4;2;2;4;2;4;1;2;4;neutral or dissatisfied;68873
2;2;2;5;2;5;2;2;2;2;5;4;5;neutral or dissatisfied;125701
4;5;2;4;5;4;4;5;4;5;2;4;4;satisfied;94999
3;5;3;5;4;5;3;5;5;5;5;5;3;neutral or dissatisfied;56694
5;4;2;2;5;5;5;2;5;2;2;2;3;satisfied;62010
5;5;3;3;5;5;3;5;4;3;3;3;4;satisfied;95868
4;4;4;4;5;4;4;4;5;4;4;4;3;satisfied;123064
3;2;3;3;2;4;3;2;3;2;3;4;4;neutral or dissatisfied;103418
3;2;4;5;2;5;3;2;3;2;4;4;5;neutral or dissatisfied;73456
5;4;2;5;4;5;4;4;4;4;5;5;5;satisfied;8851
4;4;5;3;4;1;1;4;4;4;2;2;4;neutral or dissatisfied;64241
2;3;4;4;3;2;2;3;2;3;1;3;1;neutral or dissatisfied;81723
5;4;4;4;5;5;5;4;5;4;4;4;5;satisfied;88237
3;1;5;3;1;4;0;1;0;1;1;5;2;neutral or dissatisfied;50619
3;1;3;5;1;4;3;1;3;1;3;4;4;neutral or dissatisfied;54444
2;1;1;2;1;1;2;1;2;1;4;3;1;neutral or dissatisfied;64765
3;2;4;3;2;4;3;2;3;2;3;3;1;neutral or dissatisfied;15941
1;5;5;1;5;1;1;5;5;5;4;2;2;satisfied;14965
3;3;2;4;3;4;2;3;2;3;4;3;3;neutral or dissatisfied;36897
4;5;4;4;5;5;4;5;5;5;4;4;3;satisfied;127954
0;1;1;5;1;5;0;1;0;1;3;4;5;satisfied;27872
2;3;5;5;3;2;2;1;5;5;5;5;4;satisfied;35854
5;3;5;5;3;1;1;1;2;5;5;5;1;satisfied;14527
2;3;2;3;1;1;2;4;3;3;3;3;2;neutral or dissatisfied;47021
3;5;2;1;2;5;3;2;3;2;5;1;3;neutral or dissatisfied;11224
3;1;5;2;3;5;3;3;3;3;1;1;3;neutral or dissatisfied;3921
2;3;1;4;2;2;2;2;2;2;3;3;2;neutral or dissatisfied;69463
3;3;2;3;3;1;1;3;3;3;1;4;2;neutral or dissatisfied;47050
2;1;4;4;5;2;2;5;3;4;4;4;1;satisfied;21970
2;2;4;4;5;2;2;2;5;4;4;4;1;satisfied;30046
3;3;4;5;5;4;3;5;3;5;3;5;5;neutral or dissatisfied;1256
2;5;4;5;5;4;2;5;2;5;5;5;5;neutral or dissatisfied;73813
3;4;3;5;2;3;3;4;4;5;5;5;1;neutral or dissatisfied;110928
4;2;5;4;2;4;4;2;4;2;3;5;3;neutral or dissatisfied;102981
4;5;5;5;3;3;4;2;4;5;5;5;3;satisfied;61571
2;4;3;3;4;2;2;4;2;4;3;3;1;neutral or dissatisfied;3796
3;2;3;5;2;3;3;2;3;2;4;5;3;neutral or dissatisfied;73906
5;5;4;4;5;5;5;3;5;4;4;4;4;satisfied;74090
