19556;Female;52;Loyal Customer;55
90035;Female;36;Loyal Customer;8
12360;Male;20;disloyal Customer;9
77959;Male;44;Loyal Customer;49
36875;Female;49;Loyal Customer;5
39177;Male;16;Loyal Customer;24
79433;Female;77;Loyal Customer;16
97286;Female;43;Loyal Customer;60
27508;Male;47;Loyal Customer;36
62482;Female;46;Loyal Customer;10
47583;Female;47;Loyal Customer;56
115550;Female;33;Loyal Customer;39
119987;Female;46;Loyal Customer;74
42141;Female;60;Loyal Customer;35
2274;Female;52;Loyal Customer;47
22470;Male;50;Loyal Customer;4
124915;Female;31;Loyal Customer;63
17836;Male;52;Loyal Customer;65
76872;Female;43;Loyal Customer;38
64287;Female;50;Loyal Customer;9
63995;Male;60;Loyal Customer;66
75855;Male;43;Loyal Customer;55
106181;Male;55;Loyal Customer;19
44304;Male;25;Loyal Customer;31
82602;Female;30;disloyal Customer;25
7823;Male;62;Loyal Customer;57
127781;Male;24;Loyal Customer;63
34501;Female;22;Loyal Customer;47
121658;Male;44;Loyal Customer;18
20219;Male;51;Loyal Customer;27
67551;Male;43;Loyal Customer;32
48994;Female;56;Loyal Customer;71
70811;Male;41;disloyal Customer;8
75241;Male;22;Loyal Customer;4
12312;Female;53;Loyal Customer;14
48372;Male;12;Loyal Customer;14
51477;Female;39;Loyal Customer;14
84204;Female;55;Loyal Customer;66
70990;Female;32;disloyal Customer;10
101991;Female;40;Loyal Customer;68
87447;Female;42;disloyal Customer;68
16112;Male;24;disloyal Customer;32
16172;Male;22;Loyal Customer;24
106558;Female;28;Loyal Customer;1
11536;Female;36;Loyal Customer;64
47773;Female;62;Loyal Customer;77
70521;Female;60;Loyal Customer;37
96283;Female;59;Loyal Customer;53
117993;Female;49;Loyal Customer;7
74703;Female;44;Loyal Customer;70
110840;Female;58;Loyal Customer;29
88249;Male;24;disloyal Customer;20
125877;Female;53;Loyal Customer;64
83968;Male;56;Loyal Customer;48
122719;Female;30;Loyal Customer;6
3949;Male;27;disloyal Customer;67
45542;Male;27;Loyal Customer;23
43742;Female;67;Loyal Customer;70
122093;Female;32;Loyal Customer;22
121454;Male;36;disloyal Customer;73
738;Male;44;Loyal Customer;22
75235;Female;70;Loyal Customer;36
88653;Female;55;Loyal Customer;14
26594;Male;66;Loyal Customer;31
38339;Female;19;Loyal Customer;33
46063;Female;53;Loyal Customer;6
27957;Male;22;Loyal Customer;35
17270;Female;69;Loyal Customer;49
87976;Female;42;Loyal Customer;5
31640;Female;41;Loyal Customer;41
41461;Female;53;Loyal Customer;49
15143;Male;35;Loyal Customer;47
78136;Female;54;Loyal Customer;30
120433;Male;44;Loyal Customer;30
