123456;160;50;44.0;Business travel;1;19556
123457;2863;0;0.0;Business travel;2;90035
123458;192;0;0.0;Business travel;3;12360
123459;3377;0;6.0;Business travel;4;77959
123460;1182;0;20.0;Business travel;5;36875
123461;311;0;0.0;Business travel;6;39177
123462;3987;0;0.0;Business travel;7;79433
123463;2556;77;65.0;Business travel;8;97286
123464;556;1;0.0;Business travel;9;27508
123465;1744;28;14.0;Business travel;10;62482
123466;1235;29;19.0;Business travel;11;47583
123467;325;18;7.0;Business travel;12;115550
123468;1009;0;0.0;Business travel;13;119987
123469;451;117;113.0;Business travel;14;42141
123470;925;10;0.0;Business travel;15;2274
123471;83;5;2.0;Personal Travel;16;22470
123472;728;2;0.0;Business travel;17;124915
123473;1075;0;0.0;Personal Travel;18;17836
123474;1927;0;0.0;Personal Travel;19;76872
123475;3799;8;0.0;Business travel;20;64287
123476;612;21;49.0;Business travel;21;63995
123477;1437;0;0.0;Personal Travel;22;75855
123478;302;0;0.0;Personal Travel;23;106181
123479;1428;0;0.0;Business travel;24;44304
123480;528;0;0.0;Business travel;25;82602
123481;710;0;0.0;Personal Travel;26;7823
123482;3680;0;0.0;Business travel;27;127781
123483;1521;3;13.0;Business travel;28;34501
123484;1543;0;0.0;Business travel;29;121658
123485;235;0;0.0;Business travel;30;20219
123486;1235;0;0.0;Personal Travel;31;67551
123487;308;0;0.0;Business travel;32;48994
123488;624;0;0.0;Business travel;33;70811
123489;1846;40;68.0;Personal Travel;34;75241
123490;192;0;1.0;Business travel;35;12312
123491;674;80;70.0;Personal Travel;36;48372
123492;370;10;12.0;Business travel;37;51477
123493;3169;73;68.0;Business travel;38;84204
123494;802;0;10.0;Business travel;39;70990
123495;628;4;0.0;Personal Travel;40;101991
123496;373;0;0.0;Business travel;41;87447
123497;725;0;4.0;Business travel;42;16112
123498;277;116;177.0;Business travel;43;16172
123499;1024;0;3.0;Business travel;44;106558
123500;267;59;55.0;Business travel;45;11536
123501;550;92;90.0;Business travel;46;47773
123502;1889;0;0.0;Business travel;47;70521
123503;460;4;2.0;Personal Travel;48;96283
123504;3295;0;4.0;Business travel;49;117993
123505;1205;0;0.0;Personal Travel;50;74703
